序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
16,question_0_aime_Qwen3-32B_S4,16,4,2,3,1,1.0,0.8805792485393645,1047.6666666666667,2094.0,3.175470132870366e+16,190328797569365.34
17,question_0_aime_Qwen3-32B_S2,16,4,2,3,1,1.0,0.8365915783619197,968.6666666666666,1933.6666666666667,2.2755351701099692e+16,139405216154282.67
18,question_0_aime_Qwen3-32B_S1,16,4,2,3,1,1.0,0.8179950393313672,989.3333333333334,1979.3333333333333,1.440010003660561e+16,89167448195584.0
19,question_0_aime_Qwen3-32B_S8,8,8,2,3,1,1.0,0.8986038699214601,1053.6666666666667,2108.0,4.655194675911629e+16,253067856954880.0
20,question_0_aime_Qwen3-32B_S4,8,8,2,3,1,1.0,0.8706866445498597,1039.3333333333333,2079.3333333333335,3.4568927706031104e+16,199365841851904.0
21,question_0_aime_Qwen3-32B_S2,8,8,2,3,1,1.0,0.851276566533575,1038.3333333333333,2067.0,2.6443809661267456e+16,158141103278933.34
22,question_0_aime_Qwen3-32B_S1,8,8,2,3,1,1.0,0.8917179588938421,1043.3333333333333,2086.6666666666665,1.7155840217843882e+16,104567544876714.67
23,question_0_aime_Qwen3-32B_S4,4,16,4,3,1,1.0,0.8939509383676209,1032.6666666666667,4108.666666666667,4.358426935437773e+16,238520038081536.0
24,question_0_aime_Qwen3-32B_S2,4,16,4,3,1,1.0,0.8873906617921117,1220.3333333333333,4844.333333333333,3.17373570849507e+16,181636091792384.0
25,question_0_aime_Qwen3-32B_S1,4,16,4,3,1,1.0,0.8945000735774337,1124.6666666666667,4486.666666666667,2.235806966257715e+16,132423757585408.0
26,question_0_aime_Qwen3-32B_S2,2,32,4,3,1,1.0,0.9032664809302805,1138.0,4562.0,3.902793716235571e+16,214325237629952.0
27,question_0_aime_Qwen3-32B_S1,2,32,4,3,1,1.0,0.9032664809302805,1138.0,4562.0,2.5672035570401452e+16,146734008565930.66
28,question_0_aime_Qwen3-32B_S1,1,64,4,3,1,1.0,0.8982867149878812,952.0,3756.0,2.111641130726707e+16,118600674098176.0
29,question_0_aime_Qwen3-14B_S64,64,1,1,3,1,1.0,0.585009724389623,1316.3333333333333,1316.3333333333333,5.213769770363187e+16,300670864090880.0
30,question_0_aime_Qwen3-14B_S32,64,1,1,3,1,1.0,0.8174657243825756,1329.3333333333333,1584.3333333333333,4.051933340472764e+16,243888921649834.66
31,question_0_aime_Qwen3-14B_S16,64,1,1,3,1,1.0,0.7538544708840785,1087.3333333333333,1106.0,3.0891792205927936e+16,190347949654698.66
32,question_0_aime_Qwen3-14B_S8,64,1,1,3,1,1.0,0.7900410114102855,1162.0,1162.0,2.5220089735271764e+16,157307500339456.0
33,question_0_aime_Qwen3-14B_S4,64,1,1,3,1,0.6666666666666666,0.7357718787168147,797.6666666666666,1481.0,1.8202133373268736e+16,113771458939648.0
34,question_0_aime_Qwen3-14B_S2,64,1,1,3,1,0.6666666666666666,0.5074151398168247,1498.0,1498.0,1.3524551049757184e+16,84905266181205.33
35,question_0_aime_Qwen3-14B_S1,64,1,1,3,1,0.3333333333333333,0.26229366879079113,551.6666666666666,551.6666666666666,5762362780644779.0,36398557614080.0
36,question_0_aime_Qwen3-14B_S32,32,2,1,3,1,1.0,0.6320651850633593,1008.3333333333334,1393.3333333333333,4.51568203522327e+16,262618551260160.0
37,question_0_aime_Qwen3-14B_S16,32,2,1,3,1,1.0,0.6415121753381778,1137.6666666666667,1507.0,2.955898544126771e+16,177606672819029.34
38,question_0_aime_Qwen3-14B_S8,32,2,1,3,1,1.0,0.8174456286577915,1171.6666666666667,1171.6666666666667,2.6211978695434156e+16,160750497798400.0
39,question_0_aime_Qwen3-14B_S4,32,2,1,3,1,1.0,0.7663148972410169,1114.6666666666667,1114.6666666666667,2.041825529219277e+16,127498525865813.33
40,question_0_aime_Qwen3-14B_S2,32,2,1,3,1,1.0,0.5822283331687426,1120.3333333333333,1120.3333333333333,1.5773108519720874e+16,99123884827733.33
41,question_0_aime_Qwen3-14B_S1,32,2,1,3,1,0.6666666666666666,0.4036925495605459,661.6666666666666,661.6666666666666,6366350035403947.0,39963044753152.0
42,question_0_aime_Qwen3-14B_S16,16,4,2,3,1,1.0,0.8580559520779684,1135.6666666666667,2862.6666666666665,4.709733795098726e+16,264984546413568.0
43,question_0_aime_Qwen3-14B_S8,16,4,2,3,1,1.0,0.8130541129634051,1065.0,2826.3333333333335,3.858844706214255e+16,228504514663338.66
44,question_0_aime_Qwen3-14B_S4,16,4,2,3,1,1.0,0.7848072987923346,1169.0,1478.3333333333333,2.5605368027315372e+16,155892584807509.34
45,question_0_aime_Qwen3-14B_S2,16,4,2,3,1,1.0,0.877347418954351,1043.6666666666667,1609.6666666666667,1.918756793555038e+16,116731112183637.33
46,question_0_aime_Qwen3-14B_S1,16,4,2,3,1,1.0,0.8411485729910152,1121.6666666666667,1827.3333333333333,1.498572030552849e+16,92968093271637.33
47,question_0_aime_Qwen3-14B_S8,8,8,2,3,1,1.0,0.9142223673354514,1422.0,2850.6666666666665,4.51809332912983e+16,254550586062336.0
48,question_0_aime_Qwen3-14B_S4,8,8,2,3,1,1.0,0.8729689162727995,1270.3333333333333,2539.3333333333335,3.2722931370039724e+16,191128533281024.0
49,question_0_aime_Qwen3-14B_S2,8,8,2,3,1,1.0,0.8424069174393906,1307.6666666666667,2613.6666666666665,1.8890470161560148e+16,110749207177386.67
50,question_0_aime_Qwen3-14B_S1,8,8,2,3,1,1.0,0.7187112988928738,1493.0,2474.0,1.2394390934784512e+16,75515590873258.67
51,question_0_aime_Qwen3-14B_S4,4,16,4,3,1,1.0,0.8465817805957969,1228.6666666666667,6660.0,4.299568385072819e+16,232430599761408.0
52,question_0_aime_Qwen3-14B_S2,4,16,4,3,1,1.0,0.8108971216723512,990.6666666666666,4858.0,2.680338223636062e+16,155292822857813.34
53,question_0_aime_Qwen3-14B_S1,4,16,4,3,1,0.0,0.8013315941357163,910.0,2599.0,1.726708217279872e+16,106828034267904.0
54,question_0_aime_Qwen3-14B_S2,2,32,4,3,1,1.0,0.8398502313072344,1186.0,3542.0,1.7008050120445184e+16,98003078740992.0
55,question_0_aime_Qwen3-14B_S1,2,32,4,3,1,0.6666666666666666,0.5599001542048229,790.6666666666666,2361.3333333333335,1.2372219145378816e+16,73109174802261.33
56,question_0_aime_Qwen3-14B_S1,1,64,4,3,1,0.0,0.0,0.0,0.0,9112088453855488.0,51409707459584.0
57,question_0_aime_Qwen3-8B_S64,64,1,1,3,1,1.0,0.8618181908729173,1181.3333333333333,1181.3333333333333,3.409698088149837e+16,148045385759232.0
58,question_0_aime_Qwen3-8B_S32,64,1,1,3,1,1.0,0.7481424720741591,1075.6666666666667,1075.6666666666667,1.8500978038327212e+16,85651394569642.67
59,question_0_aime_Qwen3-8B_S16,64,1,1,3,1,1.0,0.8318548009785931,1160.3333333333333,1160.3333333333333,1.274482998345327e+16,65169272714666.664
60,question_0_aime_Qwen3-8B_S8,64,1,1,3,1,1.0,0.5652279045666901,1075.6666666666667,1075.6666666666667,9285080599588182.0,51570821166336.0
61,question_0_aime_Qwen3-8B_S4,64,1,1,3,1,1.0,0.6420192097566558,1299.0,1299.0,6515784048261035.0,38017596361472.0
62,question_0_aime_Qwen3-8B_S2,64,1,1,3,1,1.0,0.6834771496380311,1153.6666666666667,1153.6666666666667,4836096114139904.0,28783410813184.0
63,question_0_aime_Qwen3-8B_S1,64,1,1,3,1,1.0,0.6980271367767686,1037.3333333333333,1037.3333333333333,2841425880572757.5,17317039043242.666
64,question_0_aime_Qwen3-8B_S32,32,2,1,3,1,1.0,0.830993368133128,1275.3333333333333,1275.3333333333333,2.782374660248909e+16,124999190395392.0
65,question_0_aime_Qwen3-8B_S16,32,2,1,3,1,1.0,0.90394905213069,1184.6666666666667,1184.6666666666667,2.1443038701919572e+16,108404195334826.67
66,question_0_aime_Qwen3-8B_S8,32,2,1,3,1,1.0,0.8898887660810667,1123.6666666666667,1123.6666666666667,1.1130242058536192e+16,59002163368960.0
67,question_0_aime_Qwen3-8B_S4,32,2,1,3,1,1.0,0.6762090287707153,1085.0,1085.0,7665258684075264.0,43357054066688.0
68,question_0_aime_Qwen3-8B_S2,32,2,1,3,1,1.0,0.8147820365224844,1361.0,1361.0,5868108079742891.0,34591891240789.332
69,question_0_aime_Qwen3-8B_S1,32,2,1,3,1,1.0,0.8948094927737924,1322.3333333333333,1322.3333333333333,4174334575392426.5,24978833702400.0
70,question_0_aime_Qwen3-8B_S16,16,4,2,3,1,1.0,0.9171125338866893,1076.6666666666667,3274.3333333333335,2.1297840825355264e+16,88933867827968.0
71,question_0_aime_Qwen3-8B_S8,16,4,2,3,1,1.0,0.8833092433609656,1163.0,2326.0,1.4127108516896256e+16,67518894421845.336
72,question_0_aime_Qwen3-8B_S4,16,4,2,3,1,1.0,0.8533348744754047,1111.0,2213.6666666666665,9602862019475968.0,50137671229269.336
73,question_0_aime_Qwen3-8B_S2,16,4,2,3,1,1.0,0.8873818191188393,1021.0,2033.6666666666667,6144403234151253.0,34375666394965.332
74,question_0_aime_Qwen3-8B_S1,16,4,2,3,1,1.0,0.8932004638930052,1068.0,2129.0,4411661013974784.0,25719368150101.332
75,question_0_aime_Qwen3-8B_S8,8,8,2,3,1,1.0,0.9200370375032333,1171.0,2334.3333333333335,1.7276890592085504e+16,76853092916224.0
76,question_0_aime_Qwen3-8B_S4,8,8,2,3,1,1.0,0.9191324311793814,1166.0,2336.6666666666665,1.0354196626660522e+16,50795958671189.336
77,question_0_aime_Qwen3-8B_S2,8,8,2,3,1,1.0,0.9158797092161995,1197.3333333333333,2404.0,8096436843326379.0,42984819138389.336
78,question_0_aime_Qwen3-8B_S1,8,8,2,3,1,1.0,0.9107777781431317,1152.0,2313.6666666666665,5350252174530731.0,30105385632341.332
79,question_0_aime_Qwen3-8B_S4,4,16,4,3,1,1.0,0.7838374211602405,1131.0,8030.666666666667,2.656103213229747e+16,114450920098304.0
80,question_0_aime_Qwen3-8B_S2,4,16,4,3,1,1.0,0.6511772112488384,1268.0,5077.0,1.019736781634944e+16,49712264385450.664
81,question_0_aime_Qwen3-8B_S1,4,16,4,3,1,0.6666666666666666,0.7306041062415701,1538.6666666666667,6153.333333333333,1.005385947652864e+16,49688740699648.0
82,question_0_aime_Qwen3-8B_S2,2,32,4,3,1,1.0,0.9257208436045773,1161.6666666666667,4646.666666666667,1.2100754566291456e+16,54908278762752.0
83,question_0_aime_Qwen3-8B_S1,2,32,4,3,1,1.0,0.9296860720132303,1170.3333333333333,4694.333333333333,8447434413647275.0,42651660356352.0
84,question_0_aime_Qwen3-8B_S1,1,64,4,3,1,1.0,0.9358939554420985,1163.0,4638.0,8288540610000384.0,39087132948736.0
85,question_0_aime_Qwen3-4B_S64,64,1,1,3,1,1.0,0.8459571711297773,1013.0,1216.6666666666667,1.8137284920966144e+16,62913333136384.0
86,question_0_aime_Qwen3-4B_S32,64,1,1,3,1,1.0,0.6744860221433466,1167.6666666666667,1167.6666666666667,1.1855868330555222e+16,49065380606464.0
87,question_0_aime_Qwen3-4B_S16,64,1,1,3,1,1.0,0.7911475615684002,1313.3333333333333,2409.0,8437122731196587.0,40253110949717.336
88,question_0_aime_Qwen3-4B_S8,64,1,1,3,1,1.0,0.8241350879292829,1021.6666666666666,1021.6666666666666,5649248183383211.0,30207385291264.0
89,question_0_aime_Qwen3-4B_S4,64,1,1,3,1,1.0,0.7704308782887818,1234.3333333333333,1234.3333333333333,3723819667181226.5,21007200066048.0
90,question_0_aime_Qwen3-4B_S2,64,1,1,3,1,1.0,0.4072761600941804,1137.3333333333333,1137.3333333333333,2451731836541440.0,14250960726186.666
91,question_0_aime_Qwen3-4B_S1,64,1,1,3,1,0.6666666666666666,0.6648854407734007,1476.6666666666667,1476.6666666666667,2018927645483690.8,12207298224810.666
92,question_0_aime_Qwen3-4B_S32,32,2,1,3,1,1.0,0.751280463201837,1198.0,1198.0,1.5795493994294272e+16,60133046413312.0
93,question_0_aime_Qwen3-4B_S16,32,2,1,3,1,1.0,0.7060651704716504,1154.0,1154.0,9572661879179094.0,42116003401557.336
94,question_0_aime_Qwen3-4B_S8,32,2,1,3,1,1.0,0.7713058175731434,1015.0,1015.0,6192218160410453.0,30518864113834.668
95,question_0_aime_Qwen3-4B_S4,32,2,1,3,1,1.0,0.8422551871719234,1112.6666666666667,1112.6666666666667,4166043863421952.0,22483230000981.332
96,question_0_aime_Qwen3-4B_S2,32,2,1,3,1,1.0,0.5571975245668871,1308.0,1308.0,3502930625057621.5,19221128054613.332
97,question_0_aime_Qwen3-4B_S1,32,2,1,3,1,1.0,0.8055296363421448,1323.0,1323.0,2201684322084181.2,12747884909056.0
98,question_0_aime_Qwen3-4B_S16,16,4,2,3,1,1.0,0.907334250630656,1023.0,2039.0,1.2034022581021696e+16,46160991684608.0
99,question_0_aime_Qwen3-4B_S8,16,4,2,3,1,1.0,0.9096355613547588,1121.0,2225.3333333333335,7727902398256128.0,33744598878549.332
100,question_0_aime_Qwen3-4B_S4,16,4,2,3,1,1.0,0.8432009680890394,1058.3333333333333,2110.6666666666665,5843075809931605.0,28214554740736.0
101,question_0_aime_Qwen3-4B_S2,16,4,2,3,1,1.0,0.8644777619216529,1174.6666666666667,2336.6666666666665,3456942934090581.5,18237237931520.0
102,question_0_aime_Qwen3-4B_S1,16,4,2,3,1,1.0,0.81543592277411,1024.3333333333333,2042.3333333333333,2071055768831829.2,11360700739754.666
103,question_0_aime_Qwen3-4B_S8,8,8,2,3,1,1.0,0.8813745711423276,1150.0,2301.0,8583538023199744.0,36656353837568.0
104,question_0_aime_Qwen3-4B_S4,8,8,2,3,1,1.0,0.8847395531171479,915.0,1825.3333333333333,5640101001075712.0,26034980167168.0
105,question_0_aime_Qwen3-4B_S2,8,8,2,3,1,1.0,0.8730288928677178,1112.0,2211.0,3561793890076842.5,18701597034154.668
106,question_0_aime_Qwen3-4B_S1,8,8,2,3,1,1.0,0.886222718382682,998.3333333333334,1998.0,2236088775404032.0,11835360335530.666
107,question_0_aime_Qwen3-4B_S4,4,16,4,3,1,1.0,0.9276058184132053,1240.0,4971.0,9597653598497280.0,35408911937024.0
108,question_0_aime_Qwen3-4B_S2,4,16,4,3,1,1.0,0.9312119314346966,1176.0,4742.0,4823897117345109.0,20942601833472.0
109,question_0_aime_Qwen3-4B_S1,4,16,4,3,1,1.0,0.9393076335766161,1276.6666666666667,5147.666666666667,4116351203787605.5,18645063914154.668
110,question_0_aime_Qwen3-4B_S2,2,32,4,3,1,1.0,0.9086555491785151,971.3333333333334,3871.6666666666665,4932805410566144.0,20516841861120.0
111,question_0_aime_Qwen3-4B_S1,2,32,4,3,1,1.0,0.9220437534352914,1027.6666666666667,4080.3333333333335,3340591650634922.5,15449498042709.334
112,question_0_aime_Qwen3-4B_S1,1,64,4,3,1,1.0,0.9227839130027568,1542.0,6189.0,6484694602324480.0,23598254196224.0
113,question_0_aime_Qwen3-1.7B_S64,64,1,1,3,1,0.0,0.48799645430532457,678.0,37598.0,6780832574702592.0,26956863894016.0
114,question_0_aime_Qwen3-1.7B_S32,64,1,1,3,1,0.0,0.48799645430532457,678.0,19014.333333333332,4168683900877141.5,18410468376234.668
115,question_0_aime_Qwen3-1.7B_S16,64,1,1,3,1,0.0,0.3584738462209575,511.0,8480.666666666666,1856170130056106.8,9166067832320.0
116,question_0_aime_Qwen3-1.7B_S8,64,1,1,3,1,0.0,0.14060421703126066,321.0,4860.666666666667,2012533791754154.8,9975074805248.0
117,question_0_aime_Qwen3-1.7B_S4,64,1,1,3,1,0.0,0.33853062503728476,601.3333333333334,3105.0,1785255593823146.8,9089297159936.0
118,question_0_aime_Qwen3-1.7B_S2,64,1,1,3,1,0.0,0.24420225599810094,526.6666666666666,986.3333333333334,482789518182570.7,2814245511168.0
119,question_0_aime_Qwen3-1.7B_S1,64,1,1,3,1,0.0,0.10403307486401499,681.6666666666666,681.6666666666666,497838275596032.0,2892685508010.6665
120,question_0_aime_Qwen3-1.7B_S32,32,2,1,3,1,1.0,0.8444956340863948,1093.3333333333333,6081.333333333333,1.3824347879197184e+16,36505704748800.0
121,question_0_aime_Qwen3-1.7B_S16,32,2,1,3,1,1.0,0.7714664276778377,1256.0,4187.333333333333,8644557432172032.0,28459927384149.332
122,question_0_aime_Qwen3-1.7B_S8,32,2,1,3,1,0.6666666666666666,0.8339901467459486,1223.0,6653.666666666667,4490934976191402.5,17287105676885.334
123,question_0_aime_Qwen3-1.7B_S4,32,2,1,3,1,0.6666666666666666,0.835522214638134,1302.6666666666667,3869.0,3299581500493824.0,13964971639210.666
124,question_0_aime_Qwen3-1.7B_S2,32,2,1,3,1,0.3333333333333333,0.8044054859088959,1314.6666666666667,2331.3333333333335,2178032791929344.0,10360547449429.334
125,question_0_aime_Qwen3-1.7B_S1,32,2,1,3,1,0.3333333333333333,0.35113170717492465,1839.0,1839.0,1962013889879978.8,9257273334698.666
126,question_0_aime_Qwen3-1.7B_S16,16,4,2,3,1,1.0,0.8057447996918468,1211.3333333333333,11379.333333333334,1.168410993452416e+16,28682689774592.0
127,question_0_aime_Qwen3-1.7B_S8,16,4,2,3,1,0.6666666666666666,0.85046531008877,1255.3333333333333,12451.666666666666,7609055151200085.0,23306035653973.332
128,question_0_aime_Qwen3-1.7B_S4,16,4,2,3,1,0.6666666666666666,0.7991011816606438,1386.6666666666667,5866.666666666667,4047771563536213.5,15401983818666.666
129,question_0_aime_Qwen3-1.7B_S2,16,4,2,3,1,0.3333333333333333,0.4144544054441612,1677.3333333333333,5671.0,3474515638529450.5,14212332262912.0
130,question_0_aime_Qwen3-1.7B_S1,16,4,2,3,1,0.0,0.19975618581372812,1327.6666666666667,2688.0,2151092824219733.2,9783829096533.334
131,question_0_aime_Qwen3-1.7B_S8,8,8,2,3,1,1.0,0.8977087573583477,1222.0,16872.0,1.3828824373177856e+16,36400914939648.0
132,question_0_aime_Qwen3-1.7B_S4,8,8,2,3,1,0.3333333333333333,0.8831830359219527,1301.0,11537.0,6571354942087339.0,20897609628074.668
133,question_0_aime_Qwen3-1.7B_S2,8,8,2,3,1,0.3333333333333333,0.746616263111996,1381.6666666666667,6657.0,4864168571035648.0,16944864738218.666
134,question_0_aime_Qwen3-1.7B_S1,8,8,2,3,1,0.0,0.7201243025324225,1160.3333333333333,2318.6666666666665,1734271253590101.2,7696253601792.0
135,question_0_aime_Qwen3-1.7B_S4,4,16,4,3,1,0.0,0.9001467211917499,1281.0,19458.0,9166445775558400.0,21775394534656.0
136,question_0_aime_Qwen3-1.7B_S2,4,16,4,3,1,0.0,0.8920425779518643,1261.6666666666667,9544.666666666666,5466271288554496.0,15321904441088.0
137,question_0_aime_Qwen3-1.7B_S1,4,16,4,3,1,0.0,0.6208295059400546,1181.3333333333333,4675.666666666667,3298988386812160.0,11517526343082.666
138,question_0_aime_Qwen3-1.7B_S2,2,32,4,3,1,1.0,0.9260257160249429,1229.0,8894.0,8354344466990592.0,21183570637824.0
139,question_0_aime_Qwen3-1.7B_S1,2,32,4,3,1,0.3333333333333333,0.9064823173287336,1395.6666666666667,5612.666666666667,4917413257554261.0,14350647417941.334
140,question_0_aime_Qwen3-1.7B_S1,1,64,4,3,1,1.0,0.9306525388735217,1283.0,5112.0,5996601430667008.0,14456446057984.0
141,question_0_aime_Qwen3-0.6B_S64,64,1,1,3,1,0.0,0.3422610919412053,541.0,40570.0,4766078367314432.0,11825589486080.0
142,question_0_aime_Qwen3-0.6B_S32,64,1,1,3,1,0.0,0.3422610919412053,541.0,19689.666666666668,2496429495378090.5,7287815098538.667
143,question_0_aime_Qwen3-0.6B_S16,64,1,1,3,1,0.0,0.2819600965143565,625.0,9186.0,1122081110190762.6,3912440206506.6665
144,question_0_aime_Qwen3-0.6B_S8,64,1,1,3,1,0.0,0.1315033443216412,512.3333333333334,4737.333333333333,763614680745472.0,2998635770026.6665
145,question_0_aime_Qwen3-0.6B_S4,64,1,1,3,1,0.0,0.10681767904526379,583.6666666666666,4455.666666666667,1448272703538176.0,5358720688469.333
146,question_0_aime_Qwen3-0.6B_S2,64,1,1,3,1,0.0,0.14547255421479868,564.3333333333334,1401.0,391154939126442.7,1841433133226.6667
147,question_0_aime_Qwen3-0.6B_S1,64,1,1,3,1,0.0,0.06409227725396234,608.3333333333334,608.3333333333334,200006484330496.0,1022767300949.3334
148,question_0_aime_Qwen3-0.6B_S32,32,2,1,3,1,0.0,0.5161739688031547,480.0,23845.0,5645294457214464.0,11423891795968.0
149,question_0_aime_Qwen3-0.6B_S16,32,2,1,3,1,0.0,0.37419143574284913,474.0,11761.333333333334,3045890156043264.0,7425303296000.0
150,question_0_aime_Qwen3-0.6B_S8,32,2,1,3,1,0.0,0.41386100243633744,640.0,5634.0,1556779623748096.0,4671420666709.333
151,question_0_aime_Qwen3-0.6B_S4,32,2,1,3,1,0.0,0.18978511131508435,756.3333333333334,3221.3333333333335,1281250077574656.0,4484951263402.667
152,question_0_aime_Qwen3-0.6B_S2,32,2,1,3,1,0.0,0.2173576042344697,1400.3333333333333,2287.3333333333335,1102157667715925.4,3906431966208.0
153,question_0_aime_Qwen3-0.6B_S1,32,2,1,3,1,0.0,0.1063131669032461,579.6666666666666,579.6666666666666,281229040067925.34,1216121030314.6667
154,question_0_aime_Qwen3-0.6B_S16,16,4,2,3,1,0.0,0.6732968067508991,819.0,36870.0,1.3821459258381824e+16,23222834025472.0
155,question_0_aime_Qwen3-0.6B_S8,16,4,2,3,1,0.0,0.5360435414478147,870.6666666666666,19526.0,7962494811882496.0,15870885423274.666
156,question_0_aime_Qwen3-0.6B_S4,16,4,2,3,1,0.0,0.49238671794837435,996.0,12132.333333333334,5535726968852992.0,11978059581781.334
157,question_0_aime_Qwen3-0.6B_S2,16,4,2,3,1,0.0,0.4901069527593782,671.0,3956.6666666666665,1700706767271765.2,5100772975274.667
158,question_0_aime_Qwen3-0.6B_S1,16,4,2,3,1,0.0,0.32873142361475227,801.3333333333334,1589.3333333333333,597028248950954.6,2272509409792.0
159,question_0_aime_Qwen3-0.6B_S8,8,8,2,3,1,0.0,0.3880212213448069,1064.0,21720.0,1.604050666926848e+16,26291909028864.0
160,question_0_aime_Qwen3-0.6B_S4,8,8,2,3,1,0.0,0.36400137994528386,771.3333333333334,10629.0,7679424566957739.0,14570995263488.0
161,question_0_aime_Qwen3-0.6B_S2,8,8,2,3,1,0.0,0.3319182733860497,1028.0,6686.666666666667,5553978155118933.0,11288009834496.0
162,question_0_aime_Qwen3-0.6B_S1,8,8,2,3,1,0.0,0.28599611922607165,722.0,1451.3333333333333,931653695508138.6,3357915797845.3335
163,question_0_aime_Qwen3-0.6B_S4,4,16,4,3,1,1.0,0.6682116358130128,1391.0,16784.666666666668,9033687368581120.0,14125680497664.0
164,question_0_aime_Qwen3-0.6B_S2,4,16,4,3,1,0.6666666666666666,0.6316126355746767,1205.6666666666667,7574.666666666667,4446464021032960.0,8522219467776.0
165,question_0_aime_Qwen3-0.6B_S1,4,16,4,3,1,0.3333333333333333,0.6236490755884081,1031.6666666666667,4133.666666666667,2066317252887040.0,4769905533781.333
166,question_0_aime_Qwen3-0.6B_S2,2,32,4,3,1,0.0,0.4256216005547535,481.0,6673.0,4662647303730176.0,10023186872320.0
167,question_0_aime_Qwen3-0.6B_S1,2,32,4,3,1,0.0,0.39110655991772975,1129.0,4557.0,3846845885636608.0,8677494278144.0
168,question_0_aime_Qwen3-0.6B_S1,1,64,4,3,1,1.0,0.8655702069746073,1196.0,4816.0,2444788800375296.0,5323156260864.0
169,question_1_aime_Qwen3-32B_S64,64,1,1,3,1,1.0,0.7473403694637865,508.6666666666667,508.6666666666667,5.61144683800105e+16,323371273701376.0
170,question_1_aime_Qwen3-32B_S32,64,1,1,3,1,1.0,0.9204635032983154,526.6666666666666,765.0,4.0748025810831704e+16,243413502652757.34
171,question_1_aime_Qwen3-32B_S16,64,1,1,3,1,1.0,0.8758331961087499,459.3333333333333,459.3333333333333,3.1058400351547052e+16,189748436980224.0
172,question_1_aime_Qwen3-32B_S8,64,1,1,3,1,1.0,0.8312550087129095,809.6666666666666,809.6666666666666,2.3207372304520532e+16,144141749536085.34
173,question_1_aime_Qwen3-32B_S4,64,1,1,3,1,1.0,0.7308488842867601,993.6666666666666,993.6666666666666,1.9408595354393428e+16,121796355191466.67
174,question_1_aime_Qwen3-32B_S2,64,1,1,3,1,1.0,0.9144138954532511,671.0,671.0,1.2920361269505706e+16,81402684547925.33
175,question_1_aime_Qwen3-32B_S1,64,1,1,3,1,1.0,0.923105241544934,491.6666666666667,491.6666666666667,5201921259580416.0,32840773894656.0
176,question_1_aime_Qwen3-32B_S32,32,2,1,3,1,1.0,0.8652766512327847,434.3333333333333,434.3333333333333,4.053384268452147e+16,230617775945216.0
177,question_1_aime_Qwen3-32B_S16,32,2,1,3,1,1.0,0.9076555461258545,399.3333333333333,399.3333333333333,2.7843548777826304e+16,164531478955008.0
178,question_1_aime_Qwen3-32B_S8,32,2,1,3,1,1.0,0.9084580320552019,474.3333333333333,474.3333333333333,2.3590978903618388e+16,142879450780160.0
179,question_1_aime_Qwen3-32B_S4,32,2,1,3,1,1.0,0.9560407428298855,694.0,694.0,1.626119040081135e+16,100361050155178.67
