Dataset,Question_ID,Model,QP,CP,BS,Correctness,Verifier_Score,Memory_Access,Computation,EFLOPs,Total_Tokens,Effective_Length,Normalized_EFLOPS
AIME,10,Qwen3-4B,2,16,4,0.0,0.2676560167720738,674019803136.0,3300107343872.0,108447196633088.0,5391.0,661.0,0.3661203680476515
AIME,10,Qwen3-4B,2,16,4,0.0,0.4263324456038793,536776123904.0,3085917815808.0,86822993144832.0,5860.0,779.0,0.3458799894668606
AIME,10,Qwen3-4B,2,16,4,0.0,0.4263324456038793,536776123904.0,3085917815808.0,86822993144832.0,5860.0,779.0,0.3458799894668606
AIME,10,Qwen3-4B,1,16,4,0.0,0.2676560167720738,672471142400.0,2173674224640.0,107079172439040.0,2658.0,661.0,0.3649649773831311
AIME,10,Qwen3-4B,1,16,4,0.0,0.2676560167720738,672471142400.0,2173674224640.0,107079172439040.0,2658.0,661.0,0.3649649773831311
AIME,10,Qwen3-4B,1,16,4,0.0,0.2676560167720738,672471142400.0,2173674224640.0,107079172439040.0,2658.0,661.0,0.3649649773831311
AIME,11,Qwen3-4B,4,16,4,0.0,0.7527401097816059,853760859136.0,5161964452864.0,138348658478080.0,33222.0,1833.0,0.3882830809620399
AIME,11,Qwen3-4B,4,16,4,0.0,0.7527401097816059,853760859136.0,5161964452864.0,138348658478080.0,33222.0,1833.0,0.3882830809620399
AIME,11,Qwen3-4B,4,16,4,0.0,0.7527401097816059,853760859136.0,5161964452864.0,138348658478080.0,33222.0,1833.0,0.3882830809620399
AIME,11,Qwen3-4B,2,16,4,0.0,0.7527401097816059,843281748480.0,3308470780928.0,134860423543808.0,16367.0,1833.0,0.3859589325814113
AIME,11,Qwen3-4B,2,16,4,0.0,0.7527401097816059,843281748480.0,3308470780928.0,134860423543808.0,16367.0,1833.0,0.3859589325814113
AIME,11,Qwen3-4B,2,16,4,0.0,0.7505152591409194,841660207616.0,2454984078336.0,133753976466432.0,15402.0,1484.0,0.3852091532448583
AIME,11,Qwen3-4B,1,16,4,0.0,0.2902224613101157,841565598208.0,2078922204160.0,133363155524608.0,9140.0,2283.0,0.384942831854281
AIME,11,Qwen3-4B,1,16,4,0.0,0.2690757655715269,849635707904.0,2090197622784.0,134633368055808.0,10593.0,2929.0,0.3858055722644443
AIME,11,Qwen3-4B,1,16,4,0.0,0.2902224613101157,841565598208.0,2078922204160.0,133363155524608.0,9140.0,2283.0,0.384942831854281
AIME,12,Qwen3-4B,4,16,4,0.0,0.9049217772441958,612101726208.0,5164439876096.0,100652309164544.0,33024.0,1285.0,0.3593316496049254
AIME,12,Qwen3-4B,4,16,4,0.0,0.9049217772441958,612101726208.0,5164439876096.0,100652309164544.0,33024.0,1285.0,0.3593316496049254
AIME,12,Qwen3-4B,4,16,4,0.0,0.9049217772441958,612101726208.0,5164439876096.0,100652309164544.0,33024.0,1285.0,0.3593316496049254
AIME,12,Qwen3-4B,2,16,4,0.0,0.9049217772441958,576883841024.0,2886305834496.0,92880185034240.0,9424.0,1285.0,0.3520177477920954
AIME,12,Qwen3-4B,2,16,4,0.0,0.9049217772441958,576883841024.0,2886305834496.0,92880185034240.0,9424.0,1285.0,0.3520177477920954
AIME,12,Qwen3-4B,2,16,4,0.0,0.9049217772441958,576883841024.0,2886305834496.0,92880185034240.0,20622.0,1285.0,0.3520177477920954
AIME,12,Qwen3-4B,1,16,4,0.0,0.6419718993287888,607673880576.0,1814779332608.0,96611904702464.0,7985.0,1985.0,0.3556028681084039
AIME,12,Qwen3-4B,1,16,4,0.0,0.9049217772441958,575407892480.0,1769752320000.0,91533383546880.0,5007.0,1285.0,0.350688370999806
AIME,12,Qwen3-4B,1,16,4,0.0,0.6419718993287888,607673880576.0,1814779332608.0,96611904702464.0,7985.0,1985.0,0.3556028681084039
AIME,13,Qwen3-4B,4,16,4,0.0,0.6892503921273649,1027560581120.0,11834916089344.0,172134366744064.0,28894.0,2325.0,0.4081690999767861
AIME,13,Qwen3-4B,4,16,4,0.0,0.6892503921273649,1027560581120.0,11834916089344.0,172134366744064.0,28894.0,2325.0,0.4081690999767861
AIME,13,Qwen3-4B,4,16,4,0.0,0.6892503921273649,1027560581120.0,11834916089344.0,172134366744064.0,28894.0,2325.0,0.4081690999767861
AIME,13,Qwen3-4B,2,16,4,0.0,0.6892503921273649,1021065127936.0,6230256863744.0,165516416821760.0,16813.0,2325.0,0.4046009673168379
AIME,13,Qwen3-4B,2,16,4,0.0,0.5706017814765858,948385037824.0,6128524398080.0,154076590298624.0,12081.0,1551.0,0.3980826212481801
AIME,13,Qwen3-4B,2,16,4,0.0,0.4309337861604023,948385037824.0,6128524398080.0,154076590298624.0,13339.0,1883.0,0.3980826212481801
AIME,13,Qwen3-4B,1,16,4,0.0,0.5706017814765858,945137311232.0,3326194785280.0,150767615337472.0,6220.0,1551.0,0.3961067335838356
AIME,13,Qwen3-4B,1,16,4,0.0,0.6892503921273649,1017817401344.0,3427927250944.0,162207441860608.0,9335.0,2325.0,0.4027630336375716
AIME,13,Qwen3-4B,1,16,4,0.0,0.4309337861604023,945137311232.0,3326194785280.0,150767615337472.0,7478.0,1883.0,0.3961067335838356
AIME,14,Qwen3-4B,4,16,4,1.0,0.951085673945212,840305108992.0,6788018063872.0,137875615066624.0,5049.0,1253.0,0.3879713576811806
AIME,14,Qwen3-4B,4,16,4,1.0,0.951085673945212,840305108992.0,6788018063872.0,137875615066624.0,11468.0,1253.0,0.3879713576811806
AIME,14,Qwen3-4B,4,16,4,1.0,0.951085673945212,840305108992.0,6788018063872.0,137875615066624.0,11468.0,1253.0,0.3879713576811806
AIME,14,Qwen3-4B,2,16,4,1.0,0.951085673945212,690638119936.0,3863319861760.0,111602866571776.0,5049.0,1253.0,0.3687309029582459
AIME,14,Qwen3-4B,2,16,4,0.0,0.7553077441476134,714853315072.0,3897171258880.0,115414288410112.0,12419.0,1170.0,0.3717872228492072
AIME,14,Qwen3-4B,2,16,4,1.0,0.951085673945212,690638119936.0,3863319861760.0,111602866571776.0,9745.0,1253.0,0.3687309029582459
AIME,14,Qwen3-4B,1,16,4,0.0,0.3774355916932022,712847819264.0,2598478003200.0,113802737808384.0,7723.0,1929.0,0.3705074470752805
AIME,14,Qwen3-4B,1,16,4,0.0,0.7553077441476134,656347761664.0,2519502075904.0,104909752895488.0,4696.0,1170.0,0.3631021389368308
AIME,14,Qwen3-4B,1,16,4,0.0,0.2553741252896785,833943701504.0,2767837839360.0,132863055273984.0,6419.0,1575.0,0.3846009024669237
AIME,15,Qwen3-4B,4,16,4,0.0,0.8778880071204466,374545190400.0,3348981810176.0,61778031512576.0,14016.0,803.0,0.3149063810068637
AIME,15,Qwen3-4B,4,16,4,0.0,0.8778880071204466,374545190400.0,3348981810176.0,61778031512576.0,14016.0,803.0,0.3149063810068637
AIME,15,Qwen3-4B,4,16,4,0.0,0.8778880071204466,374545190400.0,3348981810176.0,61778031512576.0,14016.0,803.0,0.3149063810068637
AIME,15,Qwen3-4B,2,16,4,0.0,0.8778880071204466,67715920384.0,1842344181760.0,12406027761664.0,5929.0,803.0,0.1687985317168569
AIME,15,Qwen3-4B,2,16,4,0.0,0.8778880071204466,67715920384.0,1842344181760.0,12406027761664.0,6968.0,803.0,0.1687985317168569
AIME,15,Qwen3-4B,2,16,4,0.0,0.6380918166673701,374243425792.0,2281223848960.0,60663198272512.0,8087.0,932.0,0.3132489941750067
AIME,15,Qwen3-4B,1,16,4,0.0,0.5577179161203323,374081027584.0,1741725443584.0,60098365746688.0,4350.0,1091.0,0.3123976134934194
AIME,15,Qwen3-4B,1,16,4,0.0,0.8778880071204466,59513522176.0,1302845776384.0,10586955235840.0,3231.0,803.0,0.1543676485123539
AIME,15,Qwen3-4B,1,16,4,0.0,0.5577179161203323,374081027584.0,1741725443584.0,60098365746688.0,4350.0,1091.0,0.3123976134934194
AIME,16,Qwen3-4B,4,16,4,0.0,0.7201416812788369,583908596224.0,7455641060352.0,98545382071296.0,32469.0,899.0,0.3574062935301274
AIME,16,Qwen3-4B,4,16,4,0.0,0.7201416812788369,583908596224.0,7455641060352.0,98545382071296.0,32469.0,899.0,0.3574062935301274
AIME,16,Qwen3-4B,4,16,4,0.0,0.7201416812788369,583908596224.0,7455641060352.0,98545382071296.0,32469.0,899.0,0.3574062935301274
AIME,16,Qwen3-4B,2,16,4,0.0,0.7201416812788369,580477389312.0,4185563299840.0,94740036032512.0,13511.0,899.0,0.3538221875632131
AIME,16,Qwen3-4B,2,16,4,0.0,0.3945188598864217,580447721984.0,4174290166784.0,94724134796288.0,25421.0,2009.0,0.3538069107259318
AIME,16,Qwen3-4B,2,16,4,0.0,0.6065299207067099,580447721984.0,4174290166784.0,94724134796288.0,18958.0,858.0,0.3538069107259318
AIME,16,Qwen3-4B,1,16,4,0.0,0.6065299207067099,578746952192.0,2544887853056.0,92829412395008.0,3434.0,858.0,0.3519679826718835
AIME,16,Qwen3-4B,1,16,4,0.0,0.3945188598864217,578746952192.0,2544887853056.0,92829412395008.0,9897.0,2009.0,0.3519679826718835
AIME,16,Qwen3-4B,1,16,4,0.0,0.030492606513666,570677284864.0,2533614720000.0,91559271158784.0,15524.0,3885.0,0.3507141075733572
AIME,17,Qwen3-4B,4,16,4,0.0,0.6851512603190719,335649008640.0,3795687821312.0,56156933169152.0,32474.0,1705.0,0.3062240278006202
AIME,17,Qwen3-4B,4,16,4,0.0,0.6851512603190719,335649008640.0,3795687821312.0,56156933169152.0,32474.0,1705.0,0.3062240278006202
AIME,17,Qwen3-4B,4,16,4,0.0,0.6851512603190719,335649008640.0,3795687821312.0,56156933169152.0,32474.0,1705.0,0.3062240278006202
AIME,17,Qwen3-4B,2,16,4,0.0,0.6851512603190719,334506302464.0,2339298718720.0,54522281903104.0,13259.0,1705.0,0.3035354644054819
AIME,17,Qwen3-4B,2,16,4,0.0,0.6851512603190719,261899203072.0,2237943371776.0,43094219051008.0,17718.0,1705.0,0.2821275176649583
AIME,17,Qwen3-4B,2,16,4,0.0,0.4309269893434735,261513912832.0,2069154927616.0,42865325329408.0,19215.0,2719.0,0.2816428205239846
AIME,17,Qwen3-4B,1,16,4,0.0,0.244672669919042,333742304256.0,1526709945344.0,53590509409280.0,6431.0,1609.0,0.3019666440531647
AIME,17,Qwen3-4B,1,16,4,0.0,0.414408559160323,140149914624.0,1256566154240.0,23119952835584.0,8325.0,2082.0,0.225454864716415
AIME,17,Qwen3-4B,1,16,4,0.0,0.244672669919042,333742304256.0,1526709945344.0,53590509409280.0,6431.0,1609.0,0.3019666440531647
AIME,18,Qwen3-4B,4,16,4,1.0,0.930527645115506,1370236038656.0,5534914196480.0,219291736226816.0,8882.0,2211.0,0.4302056678123144
AIME,18,Qwen3-4B,4,16,4,1.0,0.909282666266952,1370236038656.0,5534914196480.0,219291736226816.0,9976.0,2499.0,0.4302056678123144
AIME,18,Qwen3-4B,4,16,4,1.0,0.909282666266952,1370236038656.0,5534914196480.0,219291736226816.0,9976.0,2499.0,0.4302056678123144
AIME,18,Qwen3-4B,2,16,4,1.0,0.8964202481610776,958013587456.0,3700782514176.0,153150902157312.0,8929.0,2233.0,0.3975341730750786
AIME,18,Qwen3-4B,2,16,4,1.0,0.930527645115506,600242947584.0,2957430669824.0,96595330492928.0,8882.0,2211.0,0.3555872532123942
AIME,18,Qwen3-4B,2,16,4,1.0,0.909282666266952,958013587456.0,3700782514176.0,153150902157312.0,9976.0,2499.0,0.3975341730750786
AIME,18,Qwen3-4B,1,16,4,1.0,0.909282666266952,188464248832.0,1753463328256.0,31153886146048.0,9976.0,2499.0,0.2525986183168241
AIME,18,Qwen3-4B,1,16,4,1.0,0.9170954444921644,599799195136.0,2327266329088.0,95895940770304.0,8919.0,2223.0,0.3549258903982982
AIME,18,Qwen3-4B,1,16,4,1.0,0.909282666266952,188464248832.0,1753463328256.0,31153886146048.0,9976.0,2499.0,0.2525986183168241
AIME,19,Qwen3-4B,4,16,4,1.0,0.4899020069447441,854845680640.0,6228768067072.0,139584694246912.0,13451.0,761.0,0.3890925922173737
AIME,19,Qwen3-4B,4,16,4,1.0,0.4899020069447441,854845680640.0,6228768067072.0,139584694246912.0,3187.0,761.0,0.3890925922173737
AIME,19,Qwen3-4B,4,16,4,1.0,0.4899020069447441,854845680640.0,6228768067072.0,139584694246912.0,9327.0,761.0,0.3890925922173737
AIME,19,Qwen3-4B,2,16,4,0.0,0.2468059917754541,851746515968.0,3951514891776.0,136823971382784.0,7911.0,982.0,0.3872745027302374
AIME,19,Qwen3-4B,2,16,4,1.0,0.4899020069447441,609200250880.0,3433046003200.0,98468285140480.0,3187.0,761.0,0.3573350623052381
AIME,19,Qwen3-4B,2,16,4,0.0,0.2468059917754541,851746515968.0,3951514891776.0,136823971382784.0,7911.0,982.0,0.3872745027302374
AIME,19,Qwen3-4B,1,16,4,0.0,0.1805824108187185,849860684800.0,2677712796160.0,135255979624960.0,4124.0,1039.0,0.3862254877290796
AIME,19,Qwen3-4B,1,16,4,0.0,0.1805824108187185,849860684800.0,2677712796160.0,135255979624960.0,4124.0,1039.0,0.3862254877290796
AIME,19,Qwen3-4B,1,16,4,0.0,0.1805824108187185,849860684800.0,2677712796160.0,135255979624960.0,4124.0,1039.0,0.3862254877290796
AIME,2,Qwen3-4B,4,16,4,0.0,0.9263234377107878,654431109632.0,5560397108736.0,107651650211328.0,14817.0,1028.0,0.3654502602134654
AIME,2,Qwen3-4B,4,16,4,0.0,0.9263234377107878,654431109632.0,5560397108736.0,107651650211328.0,14817.0,1028.0,0.3654502602134654
AIME,2,Qwen3-4B,4,16,4,0.0,0.9263234377107878,654431109632.0,5560397108736.0,107651650211328.0,14817.0,1028.0,0.3654502602134654
AIME,2,Qwen3-4B,2,16,4,0.0,0.9263234377107878,601774704128.0,2859001649664.0,96735855493632.0,7322.0,1028.0,0.3557195597832613
AIME,2,Qwen3-4B,2,16,4,0.0,0.9263234377107878,650503950848.0,3028327202304.0,104506943534592.0,7733.0,1028.0,0.362752017709727
AIME,2,Qwen3-4B,2,16,4,0.0,0.9263234377107878,650503950848.0,3028327202304.0,104506943534592.0,8436.0,1028.0,0.362752017709727
AIME,2,Qwen3-4B,1,16,4,0.0,0.8502160301536138,648495428096.0,1745380263936.0,102910667046912.0,4099.0,963.0,0.3613511384029151
AIME,2,Qwen3-4B,1,16,4,0.0,0.8407584934683825,527406181376.0,1576054711296.0,83851419005952.0,2985.0,631.0,0.3427104825820899
AIME,2,Qwen3-4B,1,16,4,0.0,0.9263234377107878,600055748096.0,1677629472768.0,95286326175744.0,4337.0,1028.0,0.3543454750654353
AIME,20,Qwen3-4B,4,16,4,0.0,0.8103002764516366,595330337792.0,4674089524224.0,97545622219776.0,20097.0,1166.0,0.3564782433900807
AIME,20,Qwen3-4B,4,16,4,0.0,0.8103002764516366,595330337792.0,4674089524224.0,97545622219776.0,20097.0,1166.0,0.3564782433900807
AIME,20,Qwen3-4B,4,16,4,0.0,0.8103002764516366,595330337792.0,4674089524224.0,97545622219776.0,20097.0,1166.0,0.3564782433900807
AIME,20,Qwen3-4B,2,16,4,0.0,0.8103002764516366,592857283584.0,2665668663296.0,95151404902400.0,9848.0,1166.0,0.3542165144308902
AIME,20,Qwen3-4B,2,16,4,0.0,0.8103002764516366,471856510464.0,2496800224256.0,76106415856640.0,10463.0,1166.0,0.3338901396648885
AIME,20,Qwen3-4B,2,16,4,0.0,0.8103002764516366,479922196480.0,2508052787200.0,77375915438080.0,9162.0,1166.0,0.335395753979364
AIME,20,Qwen3-4B,1,16,4,0.0,0.7781900707322063,591633599488.0,1667084514304.0,93961926034432.0,5160.0,1285.0,0.3530716080656026
AIME,20,Qwen3-4B,1,16,4,0.0,0.7053877042609645,478698512384.0,1509468638208.0,76186436570112.0,4474.0,1128.0,0.3339857825336748
AIME,20,Qwen3-4B,1,16,4,0.0,0.7781900707322063,591633599488.0,1667084514304.0,93961926034432.0,5160.0,1285.0,0.3530716080656026
AIME,21,Qwen3-4B,4,16,4,0.0,0.7142744193458728,588384010752.0,5119019256320.0,96906924933632.0,19761.0,1828.0,0.3558803652810726
AIME,21,Qwen3-4B,4,16,4,0.0,0.7142744193458728,588384010752.0,5119019256320.0,96906924933632.0,19761.0,1828.0,0.3558803652810726
AIME,21,Qwen3-4B,4,16,4,0.0,0.7142744193458728,588384010752.0,5119019256320.0,96906924933632.0,19761.0,1828.0,0.3558803652810726
AIME,21,Qwen3-4B,2,16,4,0.0,0.4039953105459464,585176502784.0,2805287306752.0,94092821741056.0,9453.0,733.0,0.3531983063766754
AIME,21,Qwen3-4B,2,16,4,0.0,0.4039953105459464,585176502784.0,2805287306752.0,94092821741056.0,9453.0,733.0,0.3531983063766754
AIME,21,Qwen3-4B,2,16,4,0.0,0.7142744193458728,585176502784.0,2805287306752.0,94092821741056.0,10308.0,1828.0,0.3531983063766754
AIME,21,Qwen3-4B,1,16,4,0.0,0.7142744193458728,583586697728.0,1654053327360.0,92693578172928.0,7597.0,1828.0,0.3518347099716168
AIME,21,Qwen3-4B,1,16,4,0.0,0.7142744193458728,583586697728.0,1654053327360.0,92693578172928.0,7597.0,1828.0,0.3518347099716168
AIME,21,Qwen3-4B,1,16,4,0.0,0.1767785450807514,583586697728.0,1654053327360.0,92693578172928.0,6548.0,1637.0,0.3518347099716168
AIME,22,Qwen3-4B,4,16,4,0.0,0.6329376830825523,320313632768.0,4299650064384.0,54268576776192.0,29511.0,2128.0,0.3031109745828446
AIME,22,Qwen3-4B,4,16,4,0.0,0.6329376830825523,320313632768.0,4299650064384.0,54268576776192.0,29511.0,2128.0,0.3031109745828446
AIME,22,Qwen3-4B,4,16,4,0.0,0.6329376830825523,320313632768.0,4299650064384.0,54268576776192.0,29511.0,2128.0,0.3031109745828446
AIME,22,Qwen3-4B,2,16,4,0.0,0.6329376830825523,278196749824.0,2403717916672.0,45802410889216.0,14807.0,2128.0,0.2876745179980297
AIME,22,Qwen3-4B,2,16,4,0.0,0.5128037610742904,318567204864.0,2460197860352.0,52156681819136.0,14704.0,1779.0,0.2994984212244013
AIME,22,Qwen3-4B,2,16,4,0.0,0.6329376830825523,278196749824.0,2403717916672.0,45802410889216.0,14807.0,2128.0,0.2876745179980297
AIME,22,Qwen3-4B,1,16,4,0.0,0.5128037610742904,317858916352.0,1596923132416.0,51182914083328.0,6870.0,1779.0,0.2977831565937039
AIME,22,Qwen3-4B,1,16,4,0.0,0.5128037610742904,317858916352.0,1596923132416.0,51182914083328.0,6870.0,1779.0,0.2977831565937039
AIME,22,Qwen3-4B,1,16,4,0.0,0.6329376830825523,196758610432.0,1427540440576.0,32121883667968.0,8498.0,2128.0,0.2553834589492667
AIME,23,Qwen3-4B,4,16,4,0.0,0.5,377202912768.0,6927510537728.0,65771164929536.0,26123.0,1661.0,0.3206068120292692
AIME,23,Qwen3-4B,4,16,4,0.0,0.5,377202912768.0,6927510537728.0,65771164929536.0,26123.0,980.0,0.3206068120292692
AIME,23,Qwen3-4B,4,16,4,0.0,0.5,377202912768.0,6927510537728.0,65771164929536.0,26123.0,980.0,0.3206068120292692
AIME,23,Qwen3-4B,2,16,4,0.0,0.5,375243058688.0,5128395409920.0,63666312565248.0,10585.0,980.0,0.3176465541859526
AIME,23,Qwen3-4B,2,16,4,0.0,0.5,374937804288.0,5004499891712.0,63494797360640.0,15538.0,2599.0,0.3174010390705349
AIME,23,Qwen3-4B,2,16,4,0.0,0.5,374937804288.0,5004499891712.0,63494797360640.0,11822.0,1661.0,0.3174010390705349
AIME,23,Qwen3-4B,1,16,4,0.0,0.5,277310932480.0,4037360668672.0,47297866135552.0,5160.0,1298.0,0.2905985994036474
AIME,23,Qwen3-4B,1,16,4,0.0,0.5,366056186880.0,4161256186880.0,61266021340160.0,3923.0,980.0,0.3141489377134882
AIME,23,Qwen3-4B,1,16,4,0.0,0.5,277310932480.0,4037360668672.0,47297866135552.0,5160.0,1298.0,0.2905985994036474
AIME,24,Qwen3-4B,4,16,4,0.0,0.8153009649174265,654690546688.0,6420622308864.0,108552347592192.0,27380.0,893.0,0.3662085711999412
AIME,24,Qwen3-4B,4,16,4,0.0,0.8153009649174265,654690546688.0,6420622308864.0,108552347592192.0,27380.0,893.0,0.3662085711999412
AIME,24,Qwen3-4B,4,16,4,0.0,0.8153009649174265,654690546688.0,6420622308864.0,108552347592192.0,27380.0,893.0,0.3662085711999412
AIME,24,Qwen3-4B,2,16,4,0.0,0.8153009649174265,652282369024.0,3735898544640.0,105491948112384.0,7245.0,893.0,0.3636058136536688
AIME,24,Qwen3-4B,2,16,4,0.0,0.7497369432870638,611771453952.0,3589734075904.0,99026080892416.0,16210.0,912.0,0.3578491666833326
AIME,24,Qwen3-4B,2,16,4,0.0,0.8153009649174265,652093985792.0,3645966416384.0,105372628199936.0,16089.0,893.0,0.3635028132324459
AIME,24,Qwen3-4B,1,16,4,0.0,0.5901092326881534,546058981888.0,2157440065536.0,87342641240064.0,12527.0,3131.0,0.3464230869853666
AIME,24,Qwen3-4B,1,16,4,0.0,0.8153009649174265,650889896960.0,2303604534272.0,103842428460032.0,3562.0,893.0,0.3621714621743386
AIME,24,Qwen3-4B,1,16,4,0.0,0.7497369432870638,610567365120.0,2247372193792.0,97495881152512.0,3683.0,912.0,0.356431822044055
AIME,25,Qwen3-4B,4,16,4,0.0,0.5,788732995072.0,8851296415232.0,131893643646464.0,23482.0,2031.0,0.3839344136544488
AIME,25,Qwen3-4B,4,16,4,0.0,0.5,788732995072.0,8851296415232.0,131893643646464.0,23482.0,1038.0,0.3839344136544488
AIME,25,Qwen3-4B,4,16,4,0.0,0.5,788732995072.0,8851296415232.0,131893643646464.0,23482.0,1038.0,0.3839344136544488
AIME,25,Qwen3-4B,2,16,4,0.0,0.5,784960759296.0,4659146382336.0,127113024832512.0,12073.0,2031.0,0.3805743140438247
AIME,25,Qwen3-4B,2,16,4,0.0,0.5,744565711872.0,4566076746240.0,120718327798272.0,12449.0,1038.0,0.3758765652376826
AIME,25,Qwen3-4B,2,16,4,0.0,0.5,776896842752.0,4647902961664.0,125843810430976.0,15246.0,2031.0,0.3796609963472108
AIME,25,Qwen3-4B,1,16,4,0.0,0.5,783083267584.0,2567124322304.0,124728114065408.0,3930.0,973.0,0.3788505091930631
AIME,25,Qwen3-4B,1,16,4,0.0,0.5,775019351040.0,2555880901632.0,123458899663872.0,7103.0,1770.0,0.377919638452114
AIME,25,Qwen3-4B,1,16,4,0.0,0.5,783083267584.0,2567124322304.0,124728114065408.0,3930.0,973.0,0.3788505091930631
AIME,26,Qwen3-4B,4,16,4,1.0,0.6084651828065316,1267914596352.0,8991093079040.0,206785770109952.0,22352.0,2824.0,0.4248614634352791
AIME,26,Qwen3-4B,4,16,4,1.0,0.6084651828065316,1267914596352.0,8991093079040.0,206785770109952.0,11322.0,2824.0,0.4248614634352791
AIME,26,Qwen3-4B,4,16,4,1.0,0.6084651828065316,1267914596352.0,8991093079040.0,206785770109952.0,37371.0,2824.0,0.4248614634352791
AIME,26,Qwen3-4B,2,16,4,0.0,0.3952841531089862,1258480721920.0,4808375179264.0,201131367798784.0,26049.0,2769.0,0.4223381440293015
AIME,26,Qwen3-4B,2,16,4,0.0,0.3078535734829253,1121065756160.0,4615540374528.0,179501798335488.0,30089.0,3773.0,0.4119834082859789
AIME,26,Qwen3-4B,2,16,4,1.0,0.6084651828065316,1250686555648.0,4876364431360.0,199983467112448.0,26392.0,2824.0,0.4218172295456626
AIME,26,Qwen3-4B,1,16,4,0.0,0.3952841531089862,1254399307776.0,2887097543168.0,198573389556224.0,11030.0,2769.0,0.4211732320431164
AIME,26,Qwen3-4B,1,16,4,0.0,0.1194761960375954,1060414095360.0,2614924167680.0,168039523043840.0,15019.0,3759.0,0.4059778749106206
AIME,26,Qwen3-4B,1,16,4,0.0,0.3952841531089862,1254399307776.0,2887097543168.0,198573389556224.0,11030.0,2769.0,0.4211732320431164
AIME,27,Qwen3-4B,4,16,4,0.0,0.5,594365504512.0,5386997507584.0,98108016211456.0,21264.0,1263.0,0.3570014624977493
AIME,27,Qwen3-4B,4,16,4,0.0,0.5,594365504512.0,5386997507584.0,98108016211456.0,21264.0,1121.0,0.3570014624977493
AIME,27,Qwen3-4B,4,16,4,0.0,0.5,594365504512.0,5386997507584.0,98108016211456.0,21264.0,1621.0,0.3570014624977493
AIME,27,Qwen3-4B,2,16,4,0.0,0.5,591882750976.0,3317207669248.0,95650916821504.0,9699.0,1272.0,0.3546930472858358
