序号,question_model_qp_cp_bs,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
36,question_0_aime_Qwen3-14B_QP5_CP1_BS1,5,1,1,3,1,0.0,0.24597652749364798,372.6666666666667,372.6666666666667,8649990095254187.0,54589449299029.336
37,question_0_aime_Qwen3-14B_QP4_CP1_BS1,4,1,1,3,1,0.0,0.3403237993688051,441.6666666666667,441.6666666666667,8585125838881877.0,54131105246890.664
38,question_0_aime_Qwen3-14B_QP3_CP1_BS1,3,1,1,3,1,0.0,0.0,0.0,0.0,6587313351578965.0,41759007399680.0
39,question_0_aime_Qwen3-14B_QP2_CP1_BS1,2,1,1,3,1,0.3333333333333333,0.22286811666817885,367.0,367.0,5947526373680981.0,37610708125184.0
40,question_0_aime_Qwen3-14B_QP1_CP1_BS1,1,1,1,3,1,0.3333333333333333,0.3502619339789225,455.0,455.0,5982048741662379.0,37968970439936.0
41,question_0_aime_Qwen3-8B_QP20_CP1_BS1,20,1,1,3,1,1.0,0.7341615577839784,1215.6666666666667,1215.6666666666667,1.0260272759288746e+16,55711187658752.0
42,question_0_aime_Qwen3-8B_QP19_CP1_BS1,19,1,1,3,1,1.0,0.882138360821107,1154.0,1154.0,1.0692131910091434e+16,57860432220160.0
43,question_0_aime_Qwen3-8B_QP18_CP1_BS1,18,1,1,3,1,1.0,0.6796197457633761,1186.3333333333333,1186.3333333333333,1.0435565345231786e+16,56982202076757.336
44,question_0_aime_Qwen3-8B_QP17_CP1_BS1,17,1,1,3,1,1.0,0.7476012946483314,1129.6666666666667,1129.6666666666667,1.0312096513485056e+16,57014060870058.664
45,question_0_aime_Qwen3-8B_QP16_CP1_BS1,16,1,1,3,1,1.0,0.8648562640212386,1076.6666666666667,1076.6666666666667,1.0437569810392662e+16,58107917047040.0
46,question_0_aime_Qwen3-8B_QP15_CP1_BS1,15,1,1,3,1,1.0,0.763715659467711,1115.0,1115.0,9803246633617664.0,54685207782229.336
47,question_0_aime_Qwen3-8B_QP14_CP1_BS1,14,1,1,3,1,1.0,0.8167348038118915,1070.3333333333333,1070.3333333333333,9159081663302912.0,51215650301098.664
48,question_0_aime_Qwen3-8B_QP13_CP1_BS1,13,1,1,3,1,1.0,0.7435986989120019,1288.0,1288.0,1.0888691072427094e+16,61779791453440.0
49,question_0_aime_Qwen3-8B_QP12_CP1_BS1,12,1,1,3,1,1.0,0.594536843067048,1216.0,1216.0,8715337423656192.0,49342882498218.664
50,question_0_aime_Qwen3-8B_QP11_CP1_BS1,11,1,1,3,1,1.0,0.8524616834607537,1109.3333333333333,1109.3333333333333,8625325460456960.0,49327201745834.664
51,question_0_aime_Qwen3-8B_QP10_CP1_BS1,10,1,1,3,1,1.0,0.7642275708927668,1213.0,1213.0,8107916597259435.0,46813654720853.336
52,question_0_aime_Qwen3-8B_QP9_CP1_BS1,9,1,1,3,1,1.0,0.9091994106018766,1026.3333333333333,1026.3333333333333,8288079154433365.0,47986133017770.664
53,question_0_aime_Qwen3-8B_QP8_CP1_BS1,8,1,1,3,1,1.0,0.8100901542463657,1108.6666666666667,1108.6666666666667,7743753702697984.0,45634741147989.336
54,question_0_aime_Qwen3-8B_QP7_CP1_BS1,7,1,1,3,1,1.0,0.869500973688703,978.6666666666666,978.6666666666666,7471134387565568.0,43777481012480.0
55,question_0_aime_Qwen3-8B_QP6_CP1_BS1,6,1,1,3,1,1.0,0.8636379311373913,1167.3333333333333,1479.6666666666667,7018294667108949.0,41828494214314.664
56,question_0_aime_Qwen3-8B_QP5_CP1_BS1,5,1,1,3,1,1.0,0.7810350275010715,1111.6666666666667,1111.6666666666667,6666282466599083.0,39890488397056.0
57,question_0_aime_Qwen3-8B_QP4_CP1_BS1,4,1,1,3,1,1.0,0.8163163037831213,1053.0,1053.0,7096551576131755.0,42807641311317.336
58,question_0_aime_Qwen3-8B_QP3_CP1_BS1,3,1,1,3,1,1.0,0.7843809933366702,1121.0,1121.0,5287232551065429.0,32172432000426.668
59,question_0_aime_Qwen3-8B_QP2_CP1_BS1,2,1,1,3,1,1.0,0.7198252574275629,1198.3333333333333,1198.3333333333333,4660935810151253.0,28647636719786.668
60,question_0_aime_Qwen3-8B_QP1_CP1_BS1,1,1,1,3,1,1.0,0.7898209412333999,1080.6666666666667,1080.6666666666667,2901282431553024.0,17987960868010.668
61,question_0_aime_Qwen3-4B_QP20_CP1_BS1,20,1,1,3,1,1.0,0.7504216943839244,960.3333333333334,960.3333333333334,4552049422369280.0,23744010931541.332
62,question_0_aime_Qwen3-4B_QP19_CP1_BS1,19,1,1,3,1,1.0,0.8875969082618465,939.6666666666666,1222.3333333333333,4045607275177984.0,21171735892992.0
63,question_0_aime_Qwen3-4B_QP18_CP1_BS1,18,1,1,3,1,1.0,0.7971453564669719,1073.6666666666667,1073.6666666666667,4981744691934720.0,25837456975189.332
64,question_0_aime_Qwen3-4B_QP17_CP1_BS1,17,1,1,3,1,1.0,0.784206385567669,1006.3333333333334,2202.6666666666665,4133693351456938.5,21919777326250.668
65,question_0_aime_Qwen3-4B_QP16_CP1_BS1,16,1,1,3,1,1.0,0.8006987480013584,1023.6666666666666,1921.0,4195607060946432.0,22602308607658.668
66,question_0_aime_Qwen3-4B_QP15_CP1_BS1,15,1,1,3,1,1.0,0.8800678723091201,952.6666666666666,1235.3333333333333,4125483351832405.5,22275597046784.0
67,question_0_aime_Qwen3-4B_QP14_CP1_BS1,14,1,1,3,1,1.0,0.6858593116489945,1239.3333333333333,1868.6666666666667,4327021225472000.0,23040642743296.0
68,question_0_aime_Qwen3-4B_QP13_CP1_BS1,13,1,1,3,1,1.0,0.7652186996839535,1020.3333333333334,1020.3333333333334,4234165199106218.5,23162999028394.668
69,question_0_aime_Qwen3-4B_QP12_CP1_BS1,12,1,1,3,1,1.0,0.5301348695739119,987.3333333333334,987.3333333333334,4419849796950016.0,24012420747605.332
70,question_0_aime_Qwen3-4B_QP11_CP1_BS1,11,1,1,3,1,1.0,0.7885469372276906,1013.6666666666666,1013.6666666666666,3959754952377685.5,21995159179605.332
71,question_0_aime_Qwen3-4B_QP10_CP1_BS1,10,1,1,3,1,1.0,0.6883448988262177,1060.0,1641.6666666666667,3713789850505386.5,20827966276437.332
72,question_0_aime_Qwen3-4B_QP9_CP1_BS1,9,1,1,3,1,1.0,0.6755674428993882,1032.0,1630.3333333333333,3584633403527509.5,20058020806656.0
73,question_0_aime_Qwen3-4B_QP8_CP1_BS1,8,1,1,3,1,1.0,0.6493696105300515,1076.3333333333333,1359.0,3382499304737792.0,19069723106645.332
74,question_0_aime_Qwen3-4B_QP7_CP1_BS1,7,1,1,3,1,1.0,0.7999927809679495,1058.6666666666667,1058.6666666666667,3426930348396885.5,19599772043946.668
75,question_0_aime_Qwen3-4B_QP6_CP1_BS1,6,1,1,3,1,0.6666666666666666,0.5749900298019044,941.0,941.0,3080260081168725.5,17646881535317.332
76,question_0_aime_Qwen3-4B_QP5_CP1_BS1,5,1,1,3,1,0.6666666666666666,0.539295213798214,1007.3333333333334,1007.3333333333334,3227437362874709.5,18675414819328.0
77,question_0_aime_Qwen3-4B_QP4_CP1_BS1,4,1,1,3,1,1.0,0.7741162257764916,1120.6666666666667,1120.6666666666667,3396747862503936.0,19506394362368.0
78,question_0_aime_Qwen3-4B_QP3_CP1_BS1,3,1,1,3,1,0.6666666666666666,0.45618435533572005,1334.0,1334.0,2912652282926080.0,17211658216960.0
79,question_0_aime_Qwen3-4B_QP2_CP1_BS1,2,1,1,3,1,1.0,0.7056602277169751,1003.3333333333334,1319.0,1903623363808426.8,11454772205738.666
80,question_0_aime_Qwen3-4B_QP1_CP1_BS1,1,1,1,3,1,0.6666666666666666,0.6577219553677599,1264.0,1264.0,1711563302080682.8,10435166150997.334
81,question_0_aime_Qwen3-1.7B_QP20_CP1_BS1,20,1,1,3,1,0.0,0.2645227161524546,199.0,1654.3333333333333,727511169828352.0,3726518556245.3335
82,question_0_aime_Qwen3-1.7B_QP19_CP1_BS1,19,1,1,3,1,0.0,0.2582470151802628,257.6666666666667,1558.6666666666667,756453328440320.0,3958258730496.0
83,question_0_aime_Qwen3-1.7B_QP18_CP1_BS1,18,1,1,3,1,0.0,0.21491005824611029,319.0,1364.6666666666667,819336873171712.0,4310403677440.0
84,question_0_aime_Qwen3-1.7B_QP17_CP1_BS1,17,1,1,3,1,0.0,0.24219756399267944,458.6666666666667,1753.3333333333333,928118559072768.0,4686730547968.0
85,question_0_aime_Qwen3-1.7B_QP16_CP1_BS1,16,1,1,3,1,0.0,0.2566865543161349,353.0,2113.0,879231668367957.4,4697032891562.667
86,question_0_aime_Qwen3-1.7B_QP15_CP1_BS1,15,1,1,3,1,0.0,0.23802494473699795,253.33333333333334,1161.3333333333333,776206459789824.0,4197510854058.6665
87,question_0_aime_Qwen3-1.7B_QP14_CP1_BS1,14,1,1,3,1,0.0,0.18675450010502168,200.0,771.6666666666666,652243072430506.6,3515446519125.3335
88,question_0_aime_Qwen3-1.7B_QP13_CP1_BS1,13,1,1,3,1,0.0,0.17278040353607907,465.6666666666667,740.0,721513328014677.4,3941685158656.0
89,question_0_aime_Qwen3-1.7B_QP12_CP1_BS1,12,1,1,3,1,0.0,0.14338341132041024,393.6666666666667,932.3333333333334,655644426473642.6,3573654334208.0
90,question_0_aime_Qwen3-1.7B_QP11_CP1_BS1,11,1,1,3,1,0.0,0.21566412549304917,276.0,734.6666666666666,581085839979008.0,3208582537813.3335
91,question_0_aime_Qwen3-1.7B_QP10_CP1_BS1,10,1,1,3,1,0.0,0.18515149208684967,415.6666666666667,1185.3333333333333,645771262366720.0,3631695111594.6665
92,question_0_aime_Qwen3-1.7B_QP9_CP1_BS1,9,1,1,3,1,0.0,0.19142719305904152,357.0,920.6666666666666,642565419345920.0,3584961445632.0
93,question_0_aime_Qwen3-1.7B_QP8_CP1_BS1,8,1,1,3,1,0.0,0.12604154942767845,414.3333333333333,849.6666666666666,617115873341781.4,3399382401706.6665
94,question_0_aime_Qwen3-1.7B_QP7_CP1_BS1,7,1,1,3,1,0.0,0.1921812603059804,314.0,721.6666666666666,573251855654912.0,3281686882133.3335
95,question_0_aime_Qwen3-1.7B_QP6_CP1_BS1,6,1,1,3,1,0.0,0.22935579605998038,241.33333333333334,912.3333333333334,649453834339072.0,3751899423402.6665
96,question_0_aime_Qwen3-1.7B_QP5_CP1_BS1,5,1,1,3,1,0.0,0.25750136323690903,312.6666666666667,542.6666666666666,563946376247296.0,3277372004181.3335
97,question_0_aime_Qwen3-1.7B_QP4_CP1_BS1,4,1,1,3,1,0.0,0.11724276595719983,434.3333333333333,662.6666666666666,645074855412138.6,3832294673237.3335
98,question_0_aime_Qwen3-1.7B_QP3_CP1_BS1,3,1,1,3,1,0.0,0.17892164419483084,437.0,809.6666666666666,585311460027989.4,3424167300437.3335
99,question_0_aime_Qwen3-1.7B_QP2_CP1_BS1,2,1,1,3,1,0.0,0.1695860168408422,422.0,575.3333333333334,428995330382677.3,2583753765973.3335
100,question_0_aime_Qwen3-1.7B_QP1_CP1_BS1,1,1,1,3,1,0.0,0.20936382483819593,486.6666666666667,486.6666666666667,338208639697749.3,2051598363136.0
101,question_0_aime_Qwen3-0.6B_QP20_CP1_BS1,20,1,1,3,1,0.0,0.16527106014096893,278.6666666666667,1972.3333333333333,535995347367936.0,1913537976490.6667
102,question_0_aime_Qwen3-0.6B_QP19_CP1_BS1,19,1,1,3,1,0.0,0.1762028856749891,203.33333333333334,1118.3333333333333,396464977618090.7,1450280325973.3333
103,question_0_aime_Qwen3-0.6B_QP18_CP1_BS1,18,1,1,3,1,0.0,0.17343960599362204,205.66666666666666,1330.3333333333333,417355918733141.3,1540690250752.0
104,question_0_aime_Qwen3-0.6B_QP17_CP1_BS1,17,1,1,3,1,0.0,0.1032073553187592,161.66666666666666,1460.3333333333333,429703553478314.7,1640350854826.6667
105,question_0_aime_Qwen3-0.6B_QP16_CP1_BS1,16,1,1,3,1,0.0,0.11562883638756678,310.3333333333333,1927.0,525977249302186.7,1970162105685.3333
106,question_0_aime_Qwen3-0.6B_QP15_CP1_BS1,15,1,1,3,1,0.0,0.25178825231542706,270.6666666666667,782.6666666666666,382917935426048.0,1476053141845.3333
107,question_0_aime_Qwen3-0.6B_QP14_CP1_BS1,14,1,1,3,1,0.0,0.1843192813219313,224.33333333333334,879.6666666666666,366993690084010.7,1518706362538.6667
108,question_0_aime_Qwen3-0.6B_QP13_CP1_BS1,13,1,1,3,1,0.0,0.0,0.0,0.0,173177741752490.66,734628315306.6666
109,question_0_aime_Qwen3-0.6B_QP12_CP1_BS1,12,1,1,3,1,0.0,0.11505214199985914,192.0,1000.3333333333334,296852691001173.3,1172026773845.3333
110,question_0_aime_Qwen3-0.6B_QP11_CP1_BS1,11,1,1,3,1,0.0,0.08510416584535041,313.0,1150.3333333333333,353749428832085.3,1511398382250.6667
111,question_0_aime_Qwen3-0.6B_QP10_CP1_BS1,10,1,1,3,1,0.0,0.14091515988980716,348.6666666666667,1228.6666666666667,346524380300800.0,1407735694506.6667
112,question_0_aime_Qwen3-0.6B_QP9_CP1_BS1,9,1,1,3,1,0.0,0.10737072285859073,393.0,1129.6666666666667,370746220152490.7,1514617456469.3333
113,question_0_aime_Qwen3-0.6B_QP8_CP1_BS1,8,1,1,3,1,0.0,0.1823389051869193,479.0,1409.0,417958693678592.0,1804435691178.6667
114,question_0_aime_Qwen3-0.6B_QP7_CP1_BS1,7,1,1,3,1,0.0,0.11980387118425999,363.6666666666667,827.0,320231444558165.3,1450140886357.3333
115,question_0_aime_Qwen3-0.6B_QP6_CP1_BS1,6,1,1,3,1,0.0,0.20793347234322143,134.33333333333334,134.33333333333334,211512112388778.66,1031243934378.6666
116,question_0_aime_Qwen3-0.6B_QP5_CP1_BS1,5,1,1,3,1,0.0,0.14121022535714334,324.6666666666667,843.3333333333334,245733347464533.34,1194220537685.3333
117,question_0_aime_Qwen3-0.6B_QP4_CP1_BS1,4,1,1,3,1,0.0,0.10965725049482307,407.6666666666667,1190.6666666666667,252673348658176.0,1268603997866.6667
118,question_0_aime_Qwen3-0.6B_QP3_CP1_BS1,3,1,1,3,1,0.0,0.03736861864312254,463.6666666666667,463.6666666666667,273776573245952.0,1348006632448.0
119,question_0_aime_Qwen3-0.6B_QP2_CP1_BS1,2,1,1,3,1,0.0,0.12339714380391881,693.6666666666666,1049.3333333333333,266378186356565.34,1399467927893.3333
120,question_0_aime_Qwen3-0.6B_QP1_CP1_BS1,1,1,1,3,1,0.0,0.037536392530733174,743.3333333333334,743.3333333333334,253392481507328.0,1275815268181.3333
121,question_1_aime_Qwen3-32B_QP20_CP1_BS1,20,1,1,3,1,1.0,0.9330977659429847,486.6666666666667,486.6666666666667,8552736360267435.0,51909157799936.0
122,question_1_aime_Qwen3-32B_QP19_CP1_BS1,19,1,1,3,1,1.0,0.8821671250512527,383.3333333333333,383.3333333333333,1.1889237067303254e+16,73250605022890.67
123,question_1_aime_Qwen3-32B_QP18_CP1_BS1,18,1,1,3,1,1.0,0.8807819273998515,447.0,447.0,8992576941318997.0,54892969943381.336
124,question_1_aime_Qwen3-32B_QP17_CP1_BS1,17,1,1,3,1,1.0,0.7622021670007294,458.0,458.0,7961078638102357.0,48631023579477.336
125,question_1_aime_Qwen3-32B_QP16_CP1_BS1,16,1,1,3,1,1.0,0.9405870742781652,519.0,655.0,1.3235494875456e+16,80416654907904.0
126,question_1_aime_Qwen3-32B_QP15_CP1_BS1,15,1,1,3,1,1.0,0.6198237714893545,548.6666666666666,548.6666666666666,8921445148647424.0,54977125364394.664
127,question_1_aime_Qwen3-32B_QP14_CP1_BS1,14,1,1,3,1,1.0,0.8807819273998515,447.0,447.0,9875252775773184.0,60943932767914.664
128,question_1_aime_Qwen3-32B_QP13_CP1_BS1,13,1,1,3,1,1.0,0.7425092574485753,541.6666666666666,541.6666666666666,1.0737593239066112e+16,66176337505280.0
129,question_1_aime_Qwen3-32B_QP12_CP1_BS1,12,1,1,3,1,1.0,0.8637182265893312,493.6666666666667,493.6666666666667,1.0724739909036544e+16,66362813469696.0
130,question_1_aime_Qwen3-32B_QP11_CP1_BS1,11,1,1,3,1,1.0,0.9102940711585896,410.6666666666667,410.6666666666667,7728005427561984.0,47621006891690.664
131,question_1_aime_Qwen3-32B_QP10_CP1_BS1,10,1,1,3,1,1.0,0.9284077539477601,607.0,607.0,1.0769423895919446e+16,66863050582698.664
132,question_1_aime_Qwen3-32B_QP9_CP1_BS1,9,1,1,3,1,1.0,0.7513387951293856,467.6666666666667,467.6666666666667,8611374710256128.0,53336068600320.0
133,question_1_aime_Qwen3-32B_QP8_CP1_BS1,8,1,1,3,1,1.0,0.8836134037112878,471.3333333333333,471.3333333333333,1.1161250973333334e+16,69498888417792.0
134,question_1_aime_Qwen3-32B_QP7_CP1_BS1,7,1,1,3,1,1.0,0.7367190156440145,549.6666666666666,549.6666666666666,1.0689198974243498e+16,66729086474581.336
135,question_1_aime_Qwen3-32B_QP6_CP1_BS1,6,1,1,3,1,1.0,0.7426202058513142,498.3333333333333,498.3333333333333,9730780255608490.0,60987219752789.336
136,question_1_aime_Qwen3-32B_QP5_CP1_BS1,5,1,1,3,1,1.0,0.9193959587511582,413.0,413.0,1.0020473546083498e+16,62532377505109.336
137,question_1_aime_Qwen3-32B_QP4_CP1_BS1,4,1,1,3,1,1.0,0.8692533183682728,483.6666666666667,483.6666666666667,8417118340834987.0,52766726063786.664
138,question_1_aime_Qwen3-32B_QP3_CP1_BS1,3,1,1,3,1,1.0,0.782604925257164,517.3333333333334,517.3333333333334,1.1880372971809962e+16,74714761971882.67
139,question_1_aime_Qwen3-32B_QP2_CP1_BS1,2,1,1,3,1,1.0,0.904897158586793,544.3333333333334,544.3333333333334,1.1502132743703382e+16,72481966125056.0
140,question_1_aime_Qwen3-32B_QP1_CP1_BS1,1,1,1,3,1,1.0,0.9063090388770574,620.6666666666666,620.6666666666666,6589746339798869.0,41754723830101.336
141,question_1_aime_Qwen3-14B_QP20_CP1_BS1,20,1,1,3,1,0.3333333333333333,0.8240960744773695,254.0,1146.0,1.3404451852991062e+16,83270995540394.67
142,question_1_aime_Qwen3-14B_QP19_CP1_BS1,19,1,1,3,1,0.0,0.6875200322453701,247.66666666666666,523.6666666666666,1.9045477382848596e+16,119466488516693.33
143,question_1_aime_Qwen3-14B_QP18_CP1_BS1,18,1,1,3,1,0.3333333333333333,0.7950811226539606,353.3333333333333,843.3333333333334,9462406743460010.0,58731662903808.0
144,question_1_aime_Qwen3-14B_QP17_CP1_BS1,17,1,1,3,1,0.6666666666666666,0.8024417349542218,554.3333333333334,696.3333333333334,1.4888763232657664e+16,93000709088341.33
145,question_1_aime_Qwen3-14B_QP16_CP1_BS1,16,1,1,3,1,0.6666666666666666,0.8100627608273007,577.0,719.6666666666666,9527725083186688.0,59391086564010.664
146,question_1_aime_Qwen3-14B_QP15_CP1_BS1,15,1,1,3,1,0.3333333333333333,0.8121114111631199,268.6666666666667,781.3333333333334,1.4472659933067094e+16,90940215514026.67
147,question_1_aime_Qwen3-14B_QP14_CP1_BS1,14,1,1,3,1,0.0,0.49373321025362316,42.0,567.0,1.1158496026519894e+16,69957062084096.0
148,question_1_aime_Qwen3-14B_QP13_CP1_BS1,13,1,1,3,1,0.0,0.6900386982191353,344.0,835.6666666666666,1.1061455155718314e+16,69192640531882.664
149,question_1_aime_Qwen3-14B_QP12_CP1_BS1,12,1,1,3,1,0.3333333333333333,0.7189930572143813,493.3333333333333,825.6666666666666,1.0368008537323434e+16,65093849458602.664
150,question_1_aime_Qwen3-14B_QP11_CP1_BS1,11,1,1,3,1,0.3333333333333333,0.8240960744773695,254.0,601.3333333333334,8251538456634368.0,51636677485994.664
151,question_1_aime_Qwen3-14B_QP10_CP1_BS1,10,1,1,3,1,0.0,0.7431552591915248,135.33333333333334,579.3333333333334,6526722248915456.0,40839237659818.664
152,question_1_aime_Qwen3-14B_QP9_CP1_BS1,9,1,1,3,1,0.0,0.6707878153493567,219.33333333333334,840.0,7177752509978624.0,44971925174442.664
153,question_1_aime_Qwen3-14B_QP8_CP1_BS1,8,1,1,3,1,0.3333333333333333,0.7608398216581359,343.6666666666667,580.3333333333334,7083859186479189.0,44466063032661.336
154,question_1_aime_Qwen3-14B_QP7_CP1_BS1,7,1,1,3,1,0.0,0.41708480628497896,214.0,214.0,8207837125024171.0,51739719003477.336
155,question_1_aime_Qwen3-14B_QP6_CP1_BS1,6,1,1,3,1,0.3333333333333333,0.6916575166908433,190.33333333333334,303.6666666666667,1.0114498113334272e+16,63840560260522.664
156,question_1_aime_Qwen3-14B_QP5_CP1_BS1,5,1,1,3,1,0.0,0.6603664749187032,486.0,978.3333333333334,5296277512020992.0,33179291060736.0
157,question_1_aime_Qwen3-14B_QP4_CP1_BS1,4,1,1,3,1,0.0,0.7066898294930809,207.0,564.3333333333334,5161210115596117.0,32625341842005.332
158,question_1_aime_Qwen3-14B_QP3_CP1_BS1,3,1,1,3,1,0.3333333333333333,0.6576046383366765,416.0,416.0,4187636970482858.5,26388331885824.0
159,question_1_aime_Qwen3-14B_QP2_CP1_BS1,2,1,1,3,1,0.3333333333333333,0.3068762019175538,536.6666666666666,536.6666666666666,5291407723249835.0,33592553731584.0
160,question_1_aime_Qwen3-14B_QP1_CP1_BS1,1,1,1,3,1,0.0,0.2099788044719186,1149.6666666666667,1149.6666666666667,6975968758280704.0,44263571923114.664
